STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Frequency,reporter,REPORTER,partner,PARTNER,product,PRODUCT,flow,FLOW,indicators,INDICATORS,TIME_PERIOD,TIME_PERIOD,OBS_VALUE,Observation Value
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2023,,18036941,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2024,,30669146,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2002,,102686,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2003,,223242,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2004,,153870,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2005,,67085,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2006,,151462,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2007,,26682,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2008,,125431,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2009,,372830,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2010,,54804,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2011,,181502,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2012,,1054903,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2013,,295760,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2014,,92765,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2015,,25347,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2016,,51916,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",2,EXPORT,VALUE_EUR,VALUE_EUR,2017,,184327,
